Reference audio ID,Synthesized audio ID,Input text,Speaker ID,RTF,SECS,Transcription,WER
103_1241_000026_000000,103_1241_000026_000000_YourTTS,"He was born in Atlanta, Georgia.",103,1.8961422903809004,0.6869465," He was born in Atlanta, Georgia.",0.0
103_1241_000021_000000,103_1241_000021_000000_YourTTS,"They are lacy, net-like wrappers typically used for deep-fried cha gio rolls.",103,0.0962198616188263,0.6635884," They are lazy, but like wrappers typically used for deep fried chijouoles.",0.5833333333333334
103_1241_000034_000005,103_1241_000034_000005_YourTTS,"The reserve also has colonies of egrets, cormorants, and rare pelicans.",103,0.1388281845866735,0.7778431," The reserve also has colonies of Igritz, Cormorants, and rare pelicans.",0.09090909090909091
103_1241_000027_000007,103_1241_000027_000007_YourTTS,"Her mother, Eleanore, was a columnist for the Los Angeles Examiner.",103,0.0454110503196716,0.57744145," Her mother, El Nore, was a colonist for the Los Angeles Examiner.",0.2727272727272727
103_1241_000045_000001,103_1241_000045_000001_YourTTS,"Hangars, fuel, and minimal rest facilities on site.",103,0.0489627014003671,0.6589476," hangars, fuel, and minimal rest facilities on site.",0.0
103_1241_000040_000000,103_1241_000040_000000_YourTTS,The decisive engagement was then fought out between the Theban and Spartan infantry.,103,0.0504448723334532,0.73659825, The decision of engagement was in thought out between the band in Spartan Infantry.,0.46153846153846156
103_1241_000027_000000,103_1241_000027_000000_YourTTS,All winners to date have been British.,103,0.1274166589087628,0.7560397, all winners to date up in British.,0.2857142857142857
103_1241_000040_000001,103_1241_000040_000001_YourTTS,Winter Sunday services is half-hourly.,103,0.0767957779668992,0.7546192, Wait your Sunday's service is half-hawarly.,1.0
103_1241_000007_000001,103_1241_000007_000001_YourTTS,He was also a member of the Delta Chi Fraternity.,103,0.0776242464780807,0.6812186, He was also a member of the Delta Chai fraternity.,0.1
103_1241_000027_000002,103_1241_000027_000002_YourTTS,His lyrics could be called serviceable.,103,0.0792865069384502,0.75426096, His lyrics could be called Service Seable.,0.3333333333333333
103_1241_000034_000002,103_1241_000034_000002_YourTTS,She was named for John Paul Jones.,103,0.0942745956323914,0.6925501, She was named for John Paul Jones.,0.0
103_1241_000025_000013,103_1241_000025_000013_YourTTS,"Thank you, you've been very generous and kind!",103,0.0888891914423476,0.7748074, Thank you. You've been very generous and kind.,0.0
103_1241_000052_000006,103_1241_000052_000006_YourTTS,Archie Moffam is an Englishman in New York.,103,0.0838188136496195,0.7425579, Archimalfa is an Englishman in New York.,0.25
103_1241_000012_000002,103_1241_000012_000002_YourTTS,"He was a perfect operator, and one of the most trustworthy of counsellors.",103,0.0492810926201173,0.69070494, He was a perfect old bridgeor and one of the most trustworthy of count sellers.,0.3076923076923077
103_1241_000056_000000,103_1241_000056_000000_YourTTS,"The reserve also has colonies of egrets, cormorants, and rare pelicans.",103,0.0385873353303368,0.6765295," The reserve also has colonies of regrets, commands, and rare pelicans.",0.18181818181818182
103_1241_000066_000004,103_1241_000066_000004_YourTTS,There were no casualties.,103,0.1496402867909135,0.7007643, There were no casualties.,0.0
103_1241_000004_000002,103_1241_000004_000002_YourTTS,The third issue has regarded the protection of minors.,103,0.0710261018970344,0.6296698, The third issue has regarded the protection of mayners.,0.1111111111111111
103_1241_000039_000000,103_1241_000039_000000_YourTTS,Especially as he's the only one who can see him.,103,0.088438067747199,0.7239617, especially as he's the only one who can see him.,0.0
103_1241_000042_000001,103_1241_000042_000001_YourTTS,Both variants have equal status.,103,0.0908765268613056,0.70492727, both very unsavical stages.,0.8
103_1241_000038_000014,103_1241_000038_000014_YourTTS,Sally has wanted Charlie Brown's bedroom for years.,103,0.0729037663050457,0.57478917, Sully has went to Charlie Brown's bedroom for years.,0.3333333333333333
1034_121119_000019_000001,1034_121119_000019_000001_YourTTS,Most are pre-Victorian though a few are more recent.,1034,0.0597684039283044,0.6901631," must are per Victorian, though a few are more recent.",0.3333333333333333
1034_121119_000021_000001,1034_121119_000021_000001_YourTTS,A bicyclist riding down the road wearing helmet and black jacket.,1034,0.0496590510010719,0.7697456," Abyssiclist writing down the road, wearing helmet and black jacket.",0.2727272727272727
1034_121119_000053_000000,1034_121119_000053_000000_YourTTS,All winners to date have been British.,1034,0.1080015843564813,0.5308687, All winners today have been British.,0.2857142857142857
1034_121119_000012_000000,1034_121119_000012_000000_YourTTS,It was the fifth-highest-grossing holiday movie.,1034,0.1028673436148051,0.6546648, It was the fifth highest crossing holiday movie.,0.5
1034_121119_000010_000006,1034_121119_000010_000006_YourTTS,The Royal Corps of Transport consisted of a number of different specialist trades.,1034,0.0575086386165749,0.7742657, The Royal Courts of Transport consisted of a number of different specialist trades.,0.07692307692307693
1034_121119_000052_000000,1034_121119_000052_000000_YourTTS,The mortality was very high among the coolies and abuse was common.,1034,0.0749394928593589,0.83260435, The mortality was very high in Monacoleys and Abuse was common.,0.25
1034_121119_000002_000001,1034_121119_000002_000001_YourTTS,"This territory borders on Lankaran, Lerik, Yardimli, Jalilabad, Neftchala districts.",1034,0.0413553684615017,0.7454319," This territory borders on Lankar and Lyric Yardimly, Jalilabad. Neff-Challa Districts.",0.5
1034_121119_000001_000001,1034_121119_000001_000001_YourTTS,The last of the petrol engines was designed by Watson himself.,1034,0.0779722695765288,0.60849416, The last of the petrol engines was designed by Watson himself.,0.0
1034_121119_000052_000002,1034_121119_000052_000002_YourTTS,"ClearCase dynamic views are slower than local filesystems, even with a good network infrastructure.",1034,0.0433803388946934,0.7743584," Clear case dynamic views are slower than local file systems, even with a good network and fresh structure.",0.5
