Reference audio ID,Synthesized audio ID,Input text,Speaker ID,RTF,SECS
103_1241_000026_000000,103_1241_000026_000000_YourTTS,"He was born in Atlanta, Georgia.",103,1.8961422903809004,0.6869465
103_1241_000021_000000,103_1241_000021_000000_YourTTS,"They are lacy, net-like wrappers typically used for deep-fried cha gio rolls.",103,0.09621986161882633,0.6635884
103_1241_000034_000005,103_1241_000034_000005_YourTTS,"The reserve also has colonies of egrets, cormorants, and rare pelicans.",103,0.13882818458667354,0.7778431
103_1241_000027_000007,103_1241_000027_000007_YourTTS,"Her mother, Eleanore, was a columnist for the Los Angeles Examiner.",103,0.04541105031967163,0.57744145
103_1241_000045_000001,103_1241_000045_000001_YourTTS,"Hangars, fuel, and minimal rest facilities on site.",103,0.048962701400367105,0.6589476
103_1241_000040_000000,103_1241_000040_000000_YourTTS,The decisive engagement was then fought out between the Theban and Spartan infantry.,103,0.05044487233345325,0.73659825
103_1241_000027_000000,103_1241_000027_000000_YourTTS,All winners to date have been British.,103,0.12741665890876283,0.7560397
103_1241_000040_000001,103_1241_000040_000001_YourTTS,Winter Sunday services is half-hourly.,103,0.07679577796689925,0.7546192
103_1241_000007_000001,103_1241_000007_000001_YourTTS,He was also a member of the Delta Chi Fraternity.,103,0.07762424647808075,0.6812186
103_1241_000027_000002,103_1241_000027_000002_YourTTS,His lyrics could be called serviceable.,103,0.07928650693845023,0.75426096
103_1241_000034_000002,103_1241_000034_000002_YourTTS,She was named for John Paul Jones.,103,0.09427459563239146,0.6925501
103_1241_000025_000013,103_1241_000025_000013_YourTTS,"Thank you, you've been very generous and kind!",103,0.0888891914423476,0.7748074
103_1241_000052_000006,103_1241_000052_000006_YourTTS,Archie Moffam is an Englishman in New York.,103,0.0838188136496195,0.7425579
103_1241_000012_000002,103_1241_000012_000002_YourTTS,"He was a perfect operator, and one of the most trustworthy of counsellors.",103,0.04928109262011738,0.69070494
103_1241_000056_000000,103_1241_000056_000000_YourTTS,"The reserve also has colonies of egrets, cormorants, and rare pelicans.",103,0.03858733533033684,0.6765295
103_1241_000066_000004,103_1241_000066_000004_YourTTS,There were no casualties.,103,0.14964028679091354,0.7007643
103_1241_000004_000002,103_1241_000004_000002_YourTTS,The third issue has regarded the protection of minors.,103,0.07102610189703447,0.6296698
103_1241_000039_000000,103_1241_000039_000000_YourTTS,Especially as he's the only one who can see him.,103,0.08843806774719902,0.7239617
103_1241_000042_000001,103_1241_000042_000001_YourTTS,Both variants have equal status.,103,0.09087652686130569,0.70492727
103_1241_000038_000014,103_1241_000038_000014_YourTTS,Sally has wanted Charlie Brown's bedroom for years.,103,0.07290376630504575,0.57478917
1034_121119_000019_000001,1034_121119_000019_000001_YourTTS,Most are pre-Victorian though a few are more recent.,1034,0.05976840392830445,0.6901631
1034_121119_000021_000001,1034_121119_000021_000001_YourTTS,A bicyclist riding down the road wearing helmet and black jacket.,1034,0.04965905100107193,0.7697456
1034_121119_000053_000000,1034_121119_000053_000000_YourTTS,All winners to date have been British.,1034,0.10800158435648138,0.5308687
1034_121119_000012_000000,1034_121119_000012_000000_YourTTS,It was the fifth-highest-grossing holiday movie.,1034,0.10286734361480512,0.6546648
1034_121119_000010_000006,1034_121119_000010_000006_YourTTS,The Royal Corps of Transport consisted of a number of different specialist trades.,1034,0.05750863861657492,0.7742657
1034_121119_000052_000000,1034_121119_000052_000000_YourTTS,The mortality was very high among the coolies and abuse was common.,1034,0.0749394928593589,0.83260435
1034_121119_000002_000001,1034_121119_000002_000001_YourTTS,"This territory borders on Lankaran, Lerik, Yardimli, Jalilabad, Neftchala districts.",1034,0.041355368461501736,0.7454319
1034_121119_000001_000001,1034_121119_000001_000001_YourTTS,The last of the petrol engines was designed by Watson himself.,1034,0.0779722695765288,0.60849416
1034_121119_000052_000002,1034_121119_000052_000002_YourTTS,"ClearCase dynamic views are slower than local filesystems, even with a good network infrastructure.",1034,0.043380338894693476,0.7743584
1034_121119_000048_000001,1034_121119_000048_000001_YourTTS,Koosharem is located in the Sevier School District and has one elementary school.,1034,0.05784380482509732,0.77007806
1034_121119_000018_000000,1034_121119_000018_000000_YourTTS,Queen Victoria has been called the Mother of Confederation.,1034,0.05460196287832528,0.62714815
1034_121119_000064_000003,1034_121119_000064_000003_YourTTS,Phase-transfer catalysis is a special form of heterogeneous catalysis.,1034,0.04655934087028401,0.7495588
1034_121119_000065_000003,1034_121119_000065_000003_YourTTS,Adobe bricks are laid by course.,1034,0.09158510586311076,0.6804495
1034_121119_000064_000006,1034_121119_000064_000006_YourTTS,Websites aimed at expatriates began to appear about the same time.,1034,0.04483071657327505,0.7694543
1034_121119_000064_000011,1034_121119_000064_000011_YourTTS,Education can also be defined as the process of becoming an educated person.,1034,0.03557947638910264,0.7126504
1034_121119_000064_000009,1034_121119_000064_000009_YourTTS,"The word ""Ut"" is still in use to name the C-clef.",1034,0.08339082469811311,0.7042718
1034_121119_000061_000000,1034_121119_000061_000000_YourTTS,Handler is also an author.,1034,0.10926043911344685,0.62257063
1034_121119_000071_000000,1034_121119_000071_000000_YourTTS,Several notable naval engagements occurred off the Halifax station.,1034,0.0632498033192693,0.7150079
1034_121119_000014_000000,1034_121119_000014_000000_YourTTS,This triple tonguing method is most likely the fastest if done correctly.,1034,0.039787406332037416,0.795956
1034_121119_000070_000000,1034_121119_000070_000000_YourTTS,Galmudug is another regional administration that emerged just south of Puntland.,1034,0.05557948400166409,0.671994
1040_133433_000098_000000,1040_133433_000098_000000_YourTTS,"Hagfish have elongated, eel-like bodies, and paddle-like tails.",1040,0.0427355269838747,0.7752986
