Reference audio ID,Synthesized audio ID,Input text,Speaker ID,RTF,SECS
103_1241_000026_000000,103_1241_000026_000000_TorToise,The result was a near-doubling of speed.,103,12.248392621384612,0.6777215
103_1241_000021_000000,103_1241_000021_000000_TorToise,All songs written by Zappa unless otherwise noted.,103,11.175845275947225,0.75467324
103_1241_000034_000005,103_1241_000034_000005_TorToise,His work was attacked by Daniel Whitby and Anthony Collins.,103,10.927426376965803,0.8144829
103_1241_000027_000007,103_1241_000027_000007_TorToise,It is also the Reception-room for evening parties.,103,10.441051651781512,0.7255665
103_1241_000045_000001,103_1241_000045_000001_TorToise,The school's student body is culturally diverse.,103,11.636708108641262,0.7709206
103_1241_000040_000000,103_1241_000040_000000_TorToise,A third span was damaged and later collapsed into the river.,103,11.670616063524259,0.82864535
103_1241_000027_000000,103_1241_000027_000000_TorToise,With a bag of marshmallows.,103,11.338841613476369,0.6809212
103_1241_000040_000001,103_1241_000040_000001_TorToise,Especially as he's the only one who can see him.,103,11.63678413921778,0.80299556
103_1241_000007_000001,103_1241_000007_000001_TorToise,"The woods include ash, oak, and hazel.",103,12.02412119540427,0.70120925
103_1241_000027_000002,103_1241_000027_000002_TorToise,"Many of these paints feature a hammered look, hence the name of the company.",103,11.587124786382914,0.7728819
103_1241_000034_000002,103_1241_000034_000002_TorToise,But there it is.,103,11.709463074518375,0.63521373
103_1241_000025_000013,103_1241_000025_000013_TorToise,"""Yes, indeed"" answered the little woman.",103,11.242538549895231,0.75324154
103_1241_000052_000006,103_1241_000052_000006_TorToise,"Of these, many are engaged in ""political intelligence"".",103,12.589304856064025,0.78564334
103_1241_000012_000002,103_1241_000012_000002_TorToise,This includes three battalions of Apache attack helicopters.,103,11.69173876946697,0.69081545
103_1241_000056_000000,103_1241_000056_000000_TorToise,The one hundred largest towns are listed.,103,11.531118589083272,0.68899953
103_1241_000066_000004,103_1241_000066_000004_TorToise,"The lyrics make reference to murder, intoxication, misogyny, gangsta rap themes and supernatural fantasy.",103,11.632723608573286,0.76960427
103_1241_000004_000002,103_1241_000004_000002_TorToise,"The party has an Arabic publication, ""Al Mounataf"".",103,12.18505342912336,0.72536004
103_1241_000039_000000,103_1241_000039_000000_TorToise,The rest are of steel lattice construction.,103,11.155589159002837,0.75824475
103_1241_000042_000001,103_1241_000042_000001_TorToise,In his youth my dad was a hooligan.,103,11.541878288867428,0.7666721
103_1241_000038_000014,103_1241_000038_000014_TorToise,His work was attacked by Daniel Whitby and Anthony Collins.,103,11.695528686274637,0.737616
1034_121119_000019_000001,1034_121119_000019_000001_TorToise,Increment the order quantity if you require more than one item.,1034,11.95594971251875,0.67019755
1034_121119_000021_000001,1034_121119_000021_000001_TorToise,For learning purposes the stylus was gradually replaced by a writing slate.,1034,12.006971708524777,0.6860573
1034_121119_000053_000000,1034_121119_000053_000000_TorToise,The Mega Drive version was released exclusively in Japan.,1034,11.075589232576222,0.67935085
1034_121119_000012_000000,1034_121119_000012_000000_TorToise,Junior Rotter and Sue Helen were sibling rivals.,1034,10.94525357546657,0.77086556
1034_121119_000010_000006,1034_121119_000010_000006_TorToise,"They have toured North America, Europe, Australia, New Zealand and Japan.",1034,11.031385030063241,0.8381197
1034_121119_000052_000000,1034_121119_000052_000000_TorToise,There were no casualties.,1034,10.216074802547508,0.6520734
1034_121119_000002_000001,1034_121119_000002_000001_TorToise,"Unlike the macaques, it avoids humans.",1034,11.047911973592873,0.83393383
1034_121119_000001_000001,1034_121119_000001_000001_TorToise,The Village of Blue Springs is served by the Union County School District.,1034,10.73629092199065,0.58984745
1034_121119_000052_000002,1034_121119_000052_000002_TorToise,"Sections of the river are closed to fishing, or are ""catch-and-release"" waters.",1034,11.132247578146439,0.82176983
1034_121119_000048_000001,1034_121119_000048_000001_TorToise,It flows northwest to receive the Ross River at the town of Ross River.,1034,10.94150884375934,0.760846
1034_121119_000018_000000,1034_121119_000018_000000_TorToise,"The phainopepla is particularly dependent on desert mistletoe, ""Phoradendron californicum"".",1034,10.511708998900096,0.7204263
1034_121119_000064_000003,1034_121119_000064_000003_TorToise,Jacko combined a rap-like delivery with lyrics based on Australian comedy and larrikinism.,1034,11.229709478333994,0.8209113
1034_121119_000065_000003,1034_121119_000065_000003_TorToise,The Ministry of Education shares money earned by Veikkaus with various organizations.,1034,11.08354210237331,0.8915704
1034_121119_000064_000006,1034_121119_000064_000006_TorToise,The school has continued to twin with the Holgate School in Nottingham.,1034,10.82856878783416,0.8242235
1034_121119_000064_000011,1034_121119_000064_000011_TorToise,The staggered platforms are linked by footbridge.,1034,10.902529508691696,0.7739222
1034_121119_000064_000009,1034_121119_000064_000009_TorToise,A slapper or smacker may also be used.,1034,10.928258465170419,0.7771086
1034_121119_000061_000000,1034_121119_000061_000000_TorToise,"For a simpler proof using Fubini's theorem, see the references.",1034,10.347703159560952,0.7151821
1034_121119_000071_000000,1034_121119_000071_000000_TorToise,A classroom of young children holding a pose.,1034,10.69549193938893,0.7290485
1034_121119_000014_000000,1034_121119_000014_000000_TorToise,Users had the ability to vote on the songs they heard.,1034,11.426556955206522,0.7373656
1034_121119_000070_000000,1034_121119_000070_000000_TorToise,Solihull College is next-door to the east.,1034,10.75821980479997,0.7066258
1040_133433_000098_000000,1040_133433_000098_000000_TorToise,Yam is also extensively cultivated throughout the city.,1040,11.384808416846845,0.66259575
1040_133433_000141_000001,1040_133433_000141_000001_TorToise,The nakshatra's symbol is a coiled serpent.,1040,10.579308206663304,0.6712835
1040_133433_000067_000000,1040_133433_000067_000000_TorToise,"There is also a public pier called ""Wong Shek Pier"".",1040,9.914111364707002,0.6839272
1040_133433_000019_000000,1040_133433_000019_000000_TorToise,"""H. triangularis"" feeds on eels and fish.",1040,10.923303758122774,0.5200515
1040_133433_000055_000000,1040_133433_000055_000000_TorToise,"During the summer, the males spend most of their time establishing their territories.",1040,10.853523123229392,0.8536542
1040_133433_000069_000000,1040_133433_000069_000000_TorToise,Several names were suggested for this specimen.,1040,10.977127703257649,0.82790756
1040_133433_000074_000000,1040_133433_000074_000000_TorToise,Their size and shape are irregular too because they are not perfect spheres.,1040,10.988784754523472,0.7333092
1040_133433_000020_000000,1040_133433_000020_000000_TorToise,The house is a typical three-bedroom family home.,1040,11.554796348437229,0.55189574
1040_133433_000168_000001,1040_133433_000168_000001_TorToise,"At the beginning, Air Commodore L. O.",1040,10.745158299976055,0.7979515
1040_133433_000129_000000,1040_133433_000129_000000_TorToise,Later liberal historians would embellish this portrayal even more.,1040,11.516235325193625,0.7922115
1040_133433_000127_000000,1040_133433_000127_000000_TorToise,He looked like one who had passed through an uncomfortable hour or two.,1040,11.299989849741008,0.76233417
1040_133433_000042_000000,1040_133433_000042_000000_TorToise,George F. Loewenstein explored visceral factors related to addictions like smoking.,1040,11.328388831149082,0.685415
1040_133433_000090_000000,1040_133433_000090_000000_TorToise,Increment the order quantity if you require more than one item.,1040,10.561731009523218,0.73380286
1040_133433_000015_000000,1040_133433_000015_000000_TorToise,"Her mother, Eleanore, was a columnist for the Los Angeles Examiner.",1040,11.575630714731238,0.6969858
1040_133433_000077_000001,1040_133433_000077_000001_TorToise,"Powell won the fight on points, over eight rounds.",1040,11.126216803400903,0.77986145
1040_133433_000046_000000,1040_133433_000046_000000_TorToise,"‘Can I speak to Mr. Winkle, sir?’ replied Boots from the outside.",1040,10.557006074768209,0.6260836
