Reference audio ID,Synthesized audio ID,Input text,Speaker ID,RTF,SECS
103_1241_000026_000000,103_1241_000026_000000_XTTS,"In this case, the Lagrangian exhibits spontaneous symmetry breaking.",103,1.1352625496132769,0.7016386
103_1241_000021_000000,103_1241_000021_000000_XTTS,I'll close the big front doors and pull up the drawbridge after you're gone.,103,1.0587110924936545,0.77885926
103_1241_000034_000005,103_1241_000034_000005_XTTS,"The other characters who appeared are Oscar, Stanley and Darryl.",103,1.4689205736131374,0.78060234
103_1241_000027_000007,103_1241_000027_000007_XTTS,Ogonori is typically eaten cold and is a source of the thickener agar.,103,0.5616529747742697,0.6315943
103_1241_000045_000001,103_1241_000045_000001_XTTS,Websites aimed at expatriates began to appear about the same time.,103,0.5559636912214646,0.7987809
103_1241_000040_000000,103_1241_000040_000000_XTTS,This is an alternate form of regulation for the G subunit.,103,0.7545424270290949,0.7934451
103_1241_000027_000000,103_1241_000027_000000_XTTS,"If we go past a certain line, they say they will arrest us.",103,0.5758699334412677,0.73708427
103_1241_000040_000001,103_1241_000040_000001_XTTS,The Vinhos Verdes are light and fresh.,103,0.5739523584241878,0.71302176
103_1241_000007_000001,103_1241_000007_000001_XTTS,Many of the songs on the album are duets with other artists.,103,0.5691136229094735,0.78152835
103_1241_000027_000002,103_1241_000027_000002_XTTS,She is the consort of Montu.,103,0.5759571870399798,0.7002461
103_1241_000034_000002,103_1241_000034_000002_XTTS,The emblem consists of several components.,103,0.6161137097465894,0.6884056
103_1241_000025_000013,103_1241_000025_000013_XTTS,"During his term, he faced several financial problems caused by the Great Depression.",103,0.6297868135967338,0.73548436
103_1241_000052_000006,103_1241_000052_000006_XTTS,"Before going into acting, he started an acid-jazz band where he was a drummer.",103,0.5483282500375787,0.75057644
103_1241_000012_000002,103_1241_000012_000002_XTTS,Edelfelt was one of the first Finnish artists to achieve international fame.,103,0.6270217123764772,0.7333263
103_1241_000056_000000,103_1241_000056_000000_XTTS,She claimed that the journalist did not know what he was talking about.,103,0.6699768131416307,0.6976868
103_1241_000066_000004,103_1241_000066_000004_XTTS,The Vinhos Verdes are light and fresh.,103,0.738153713762666,0.6757704
103_1241_000004_000002,103_1241_000004_000002_XTTS,"When the perianth is in two whorls, it is described as biseriate.",103,0.5787995141143581,0.7785522
103_1241_000039_000000,103_1241_000039_000000_XTTS,"Meanwhile, the president would be elected by a mixture of the two modes.",103,0.5714056765659798,0.7352825
103_1241_000042_000001,103_1241_000042_000001_XTTS,Her spirit was broken by the horrors of the night's adventure.,103,0.5805066983271304,0.8021766
103_1241_000038_000014,103_1241_000038_000014_XTTS,Results suggest infliximab is effective for the treatment of dactylitis in PsA.,103,0.6560377673057874,0.6976419
1034_121119_000019_000001,1034_121119_000019_000001_XTTS,During the engagement neither ship suffered damage or casualties.,1034,0.5749470860365661,0.67922705
1034_121119_000021_000001,1034_121119_000021_000001_XTTS,The yattle is a cross between a cow and a yak.,1034,0.5591384482699644,0.7697583
1034_121119_000053_000000,1034_121119_000053_000000_XTTS,Algebra is a foundation of Machine Learning.,1034,0.5535805956002219,0.65449595
1034_121119_000012_000000,1034_121119_000012_000000_XTTS,The executive of the urban agglomeration is the agglomeration council.,1034,0.563247246250139,0.80448455
1034_121119_000010_000006,1034_121119_000010_000006_XTTS,"I was just the scribe, said Karnad in a later interview.",1034,0.7038074381211225,0.8172581
1034_121119_000052_000000,1034_121119_000052_000000_XTTS,Little is known of this period in his life.,1034,0.6005849951500605,0.7174628
1034_121119_000002_000001,1034_121119_000002_000001_XTTS,"Because of its limited release, it is now considered a collector's item.",1034,0.5962641158705283,0.7984501
1034_121119_000001_000001,1034_121119_000001_000001_XTTS,Two galleasses each were assigned to the wings and center.,1034,0.5756029020553517,0.61795497
1034_121119_000052_000002,1034_121119_000052_000002_XTTS,It was dramatic.,1034,0.68030912623829,0.72146857
1034_121119_000048_000001,1034_121119_000048_000001_XTTS,He was President of the Wests Panthers club for a number of years.,1034,0.5943575824701657,0.74412954
1034_121119_000018_000000,1034_121119_000018_000000_XTTS,"""Aurantimonas coralicida"" causes a white plague in corals.",1034,0.6844865996619526,0.81911635
1034_121119_000064_000003,1034_121119_000064_000003_XTTS,"When a Null is passed into this function, the function returns Null.",1034,0.5683002870170767,0.83856505
1034_121119_000065_000003,1034_121119_000065_000003_XTTS,It is one of four nonconvex regular polyhedra.,1034,0.5803360463295072,0.7805951
1034_121119_000064_000006,1034_121119_000064_000006_XTTS,Their mutual grandfather was president of the students union at the University.,1034,0.5678383272085616,0.8225371
1034_121119_000064_000011,1034_121119_000064_000011_XTTS,"The name Zend is a combination of their forenames, Zeev and Andi.",1034,0.7491809262289982,0.80860806
1034_121119_000064_000009,1034_121119_000064_000009_XTTS,The added pressure weakened Rosebery.,1034,0.7968706187005037,0.82984996
1034_121119_000061_000000,1034_121119_000061_000000_XTTS,Edelfelt was one of the first Finnish artists to achieve international fame.,1034,0.5652568093457727,0.74766314
1034_121119_000071_000000,1034_121119_000071_000000_XTTS,Increment the order quantity if you require more than one item.,1034,0.5728615388976785,0.8394679
1034_121119_000014_000000,1034_121119_000014_000000_XTTS,Economic arguments against free trade criticize the assumptions or conclusions of economic theories.,1034,0.6512900920311435,0.7135254
1034_121119_000070_000000,1034_121119_000070_000000_XTTS,Only after they give the tape do they realise what the truth is.,1034,0.5773914947680542,0.73751986
1040_133433_000098_000000,1040_133433_000098_000000_XTTS,Delays meant the bill could not reach the floor for a conclusive vote.,1040,0.5600925811033246,0.7681268
1040_133433_000141_000001,1040_133433_000141_000001_XTTS,Ginza does not appear as a barrier in the motion picture.,1040,0.5646563235594738,0.7480235
1040_133433_000067_000000,1040_133433_000067_000000_XTTS,This tally included a pair at Old Trafford.,1040,0.6793745431790208,0.7360867
1040_133433_000019_000000,1040_133433_000019_000000_XTTS,"Apart from alignment, there are no restrictions on multi-class combinations.",1040,0.5587215616194532,0.62945044
1040_133433_000055_000000,1040_133433_000055_000000_XTTS,After the war he was appointed Chief of the General Staff.,1040,0.5926811384118121,0.76774406
1040_133433_000069_000000,1040_133433_000069_000000_XTTS,That aroused suspicion the next day after Lincoln was assassinated.,1040,0.6824242879085628,0.8080425
1040_133433_000074_000000,1040_133433_000074_000000_XTTS,This sense of the term is similar to death roll.,1040,0.5788720594492511,0.7432156
1040_133433_000020_000000,1040_133433_000020_000000_XTTS,Then she stood up.,1040,0.5761662812760362,0.61279213
1040_133433_000168_000001,1040_133433_000168_000001_XTTS,"Generally, the loan would not exceed two thirds of the object's value.",1040,0.5957417360980984,0.7691388
1040_133433_000129_000000,1040_133433_000129_000000_XTTS,Absu mainman and drummer Proscriptor soon filled the vacant position.,1040,0.6256569610474647,0.8532517
1040_133433_000127_000000,1040_133433_000127_000000_XTTS,He could not have stolen the animal.,1040,0.5491563279889702,0.7200967
