Reference audio ID,Synthesized audio ID,Input text,Speaker ID,RTF,SECS,Transcription,WER
locutor2_audio_364,locutor2_audio_364_YourTTS,La perseverancia es la clave que desbloquea puertas aparentemente imposibles.,locutor2,0.5890718114165285,0.8113955, La perseverancia es la clave que desbloquea puertas aparentemente imposibles.,0.0
locutor2_audio_15215_15216,locutor2_audio_15215_15216_YourTTS,"Vive la vida con intensidad, no con prisa.",locutor2,0.0884587326171723,0.8629391, Y de la vida con intensidad no comprisa.,0.5
locutor2_audio_29797,locutor2_audio_29797_YourTTS,La brisa fresca del parque llevaba consigo risas de niños y el canto de pájaros en los árboles.,locutor2,0.0880064134804433,0.84390956, La brisa fresca del parque llevaba con sigo risas de niños y el canto de pajaros en los árboles.,0.16666666666666666
locutor2_audio_7682,locutor2_audio_7682_YourTTS,La música tiene el poder de transportarnos a diferentes lugares y momentos. Es como un billete mágico para un viaje emocional.,locutor2,0.022994093016155,0.9028714," La música tiene el poder de transportarnos a diferentes lugares y momentos, es como un billete mágico para un viaje emocional.",0.0
locutor2_audio_18383,locutor2_audio_18383_YourTTS,"Las cicatrices son recordatorios de las batallas que hemos librado, pero también son testimonios de nuestra fuerza para superarlas.",locutor2,0.0241462904286671,0.79317355," Las cicatrices son recordatorios de las batallas que hemos librado, pero también son testimonios de nuestra fuerza para superarlas.",0.0
locutor2_audio_69343_69344_69345_69346,locutor2_audio_69343_69344_69345_69346_YourTTS,"Me encanta esa canción, ¿la has escuchado?",locutor2,0.0475959235300589,0.8499465," Me encanta esa canción, la has escuchado.",0.0
locutor2_audio_22842_22843,locutor2_audio_22842_22843_YourTTS,"Las lágrimas en sus ojos reflejaban tormentas internas, mientras el cielo lloraba en sintonía con los pesares del alma.",locutor2,0.0229738850334278,0.86450064," Las ladrimas y sus ojos refiejan pantomentas internas, mientras el cielo lloraba en sintonía con los pesares del alma.",0.21052631578947367
locutor2_audio_23189,locutor2_audio_23189_YourTTS,¡Increíble cómo las cosas pueden cambiar en un instante!,locutor2,0.0384979777865939,0.8520576, Intreible como las cosas pueden cambiar en un instante.,0.2222222222222222
locutor2_audio_52122_52123,locutor2_audio_52122_52123_YourTTS,"Estar en las nubes es normal de vez en cuando, pero hay que bajar a la Tierra.",locutor2,0.0329236799513387,0.867878," Estar en las nubes es normal de vez en cuando, pero hay que bajar a la tierra.",0.0
locutor2_audio_60436,locutor2_audio_60436_YourTTS,Mi nivel de adultez es directamente proporcional a cuánto disfruto comprar cosas para la casa.,locutor2,0.0294910946694931,0.81901366, Mi nivel de adultes es directamente proporciona la cuánto disfruto comprar cosas para la casa.,0.2
