Reference audio ID,Synthesized audio ID,Input text,Speaker ID,RTF,SECS,Transcription,WER
103_1241_000026_000000,103_1241_000026_000000_TorToise,The result was a near-doubling of speed.,103,12.248392621384612,0.6777215, The result was a near doubling of speed.,0.2857142857142857
103_1241_000021_000000,103_1241_000021_000000_TorToise,All songs written by Zappa unless otherwise noted.,103,11.175845275947225,0.75467324," All songs written by Zappa, unless otherwise noted.",0.0
103_1241_000034_000005,103_1241_000034_000005_TorToise,His work was attacked by Daniel Whitby and Anthony Collins.,103,10.927426376965805,0.8144829, His work was attacked by Daniel Whitby and Anthony Collins.,0.0
103_1241_000027_000007,103_1241_000027_000007_TorToise,It is also the Reception-room for evening parties.,103,10.441051651781512,0.7255665, It is also the reception room for evening parties.,0.25
103_1241_000045_000001,103_1241_000045_000001_TorToise,The school's student body is culturally diverse.,103,11.636708108641262,0.7709206, The school student body is culturally diverse.,0.125
103_1241_000040_000000,103_1241_000040_000000_TorToise,A third span was damaged and later collapsed into the river.,103,11.67061606352426,0.82864535," A third span was damaged, and later collapsed into the river.",0.0
103_1241_000027_000000,103_1241_000027_000000_TorToise,With a bag of marshmallows.,103,11.338841613476369,0.6809212, with a bag of marshmallows.,0.0
103_1241_000040_000001,103_1241_000040_000001_TorToise,Especially as he's the only one who can see him.,103,11.63678413921778,0.80299556, especially as he's the only one who can see him.,0.0
103_1241_000007_000001,103_1241_000007_000001_TorToise,"The woods include ash, oak, and hazel.",103,12.02412119540427,0.70120925," The woods include ash, oak and hazel.",0.0
103_1241_000027_000002,103_1241_000027_000002_TorToise,"Many of these paints feature a hammered look, hence the name of the company.",103,11.587124786382914,0.7728819," Many of these paints feature a hammered look, hence the name of the company.",0.0
103_1241_000034_000002,103_1241_000034_000002_TorToise,But there it is.,103,11.709463074518377,0.63521373, but there it is.,0.0
103_1241_000025_000013,103_1241_000025_000013_TorToise,"""Yes, indeed"" answered the little woman.",103,11.242538549895231,0.75324154," Yes, indeed answered the little woman.",0.0
103_1241_000052_000006,103_1241_000052_000006_TorToise,"Of these, many are engaged in ""political intelligence"".",103,12.589304856064023,0.78564334, of these many are engaged in political intelligence.,0.0
103_1241_000012_000002,103_1241_000012_000002_TorToise,This includes three battalions of Apache attack helicopters.,103,11.69173876946697,0.69081545, This includes three battalions of Apache attack helicopters.,0.0
103_1241_000056_000000,103_1241_000056_000000_TorToise,The one hundred largest towns are listed.,103,11.531118589083272,0.68899953, the 100 largest towns are listed.,0.2857142857142857
103_1241_000066_000004,103_1241_000066_000004_TorToise,"The lyrics make reference to murder, intoxication, misogyny, gangsta rap themes and supernatural fantasy.",103,11.632723608573286,0.76960427," The lyrics make reference to murder. In toxication, misogyny, gangster rap themes and supernatural fantasy.",0.21428571428571427
103_1241_000004_000002,103_1241_000004_000002_TorToise,"The party has an Arabic publication, ""Al Mounataf"".",103,12.18505342912336,0.72536004," The party has an Arabic publication, only not enough.",0.375
103_1241_000039_000000,103_1241_000039_000000_TorToise,The rest are of steel lattice construction.,103,11.155589159002837,0.75824475, The rest are of steel lattice construction.,0.0
103_1241_000042_000001,103_1241_000042_000001_TorToise,In his youth my dad was a hooligan.,103,11.541878288867428,0.7666721," In his youth, my dad was a hooligan.",0.0
103_1241_000038_000014,103_1241_000038_000014_TorToise,His work was attacked by Daniel Whitby and Anthony Collins.,103,11.695528686274637,0.737616, His work was attacked by Daniel Whitby and Anthony Collins.,0.0
1034_121119_000019_000001,1034_121119_000019_000001_TorToise,Increment the order quantity if you require more than one item.,1034,11.95594971251875,0.67019755, increment the order quantity if you require more than one item.,0.0
1034_121119_000021_000001,1034_121119_000021_000001_TorToise,For learning purposes the stylus was gradually replaced by a writing slate.,1034,12.006971708524777,0.6860573," For learning purposes, the stylus was gradually replaced by a writing slate.",0.0
1034_121119_000053_000000,1034_121119_000053_000000_TorToise,The Mega Drive version was released exclusively in Japan.,1034,11.075589232576222,0.67935085, The Megadrive version was released exclusively in Japan.,0.2222222222222222
1034_121119_000012_000000,1034_121119_000012_000000_TorToise,Junior Rotter and Sue Helen were sibling rivals.,1034,10.94525357546657,0.77086556, Junior Rotter and Sue Helen were sibling rivals.,0.0
1034_121119_000010_000006,1034_121119_000010_000006_TorToise,"They have toured North America, Europe, Australia, New Zealand and Japan.",1034,11.03138503006324,0.8381197," They have toured North America, Europe, Australia, New Zealand and Japan.",0.0
