Audio ID,Original text,Duration,Speaker ID,Chapter ID,Utterance ID,Transcription,WER
103_1241_000026_000000,"""Well now, I dunno,"" said Matthew.",2.799958333333333,103,1241,000026_000000," Well, now, I don't know. Sick Matthew.",0.6666666666666666
103_1241_000021_000000,"With this Matthew's companion stopped talking, partly because she was out of breath and partly because they had reached the buggy.",6.16,103,1241,000021_000000, with this Matthew's companion stop talking. Partly because she was out of breath and partly because they had reached the buggy.,0.045454545454545456
103_1241_000034_000005,"I can't feel exactly perfectly happy because--well, what color would you call this?""",5.94,103,1241,000034_000005," I can't feel exactly perfectly happy because... Well, what color would you call this?",0.14285714285714285
103_1241_000027_000007,Would you rather I didn't talk?,1.3899583333333334,103,1241,000027_000007, Would you rather I didn't talk?,0.0
103_1241_000045_000001,"They had simply rounded a curve in the road and found themselves in the ""Avenue.""",4.160041666666666,103,1241,000045_000001, They had simply rounded a curve in the road and found themselves in the avenue.,0.0
103_1241_000040_000000,"""Well, whatever it was it must have been something nice because she was divinely beautiful.",3.44,103,1241,000040_000000," Well, whatever it was, it must have been something nice, because she was divinely beautiful.",0.0
103_1241_000027_000000,"""Well, that is one of the things to find out sometime.",2.19,103,1241,000027_000000," Well, that is one of the things to find out sometime.",0.0
103_1241_000040_000001,"Have you ever imagined what it must feel like to be divinely beautiful?""",2.81,103,1241,000040_000001, Have you ever imagined what it must feel like to be divinely beautiful?,0.0
103_1241_000007_000001,"""But there was a passenger dropped off for you--a little girl.",2.82,103,1241,000007_000001, But there was a passenger dropped off for you. A little girl.,0.18181818181818182
103_1241_000027_000002,It just makes me feel glad to be alive--it's such an interesting world.,3.7200416666666665,103,1241,000027_000002, It just makes me feel glad to be alive. It's such an interesting world.,0.14285714285714285
103_1241_000034_000002,"I never expected I would, though.",1.62,103,1241,000034_000002, I never expected I would though.,0.0
103_1241_000025_000013,When we got on the train I felt as if everybody must be looking at me and pitying me.,4.08,103,1241,000025_000013," When we got on the train, I felt as if everybody must be looking at me and pitying me.",0.0
103_1241_000052_000006,"Did you ever have an ache like that, Mr. Cuthbert?""",2.41,103,1241,000052_000006," Did you ever have an egg like that, Mr. Cuthbert?",0.1
103_1241_000012_000002,"Maybe they were out of boys of the brand you wanted.""",2.14,103,1241,000012_000002, Maybe they were out of boys at the brand you wanted.,0.09090909090909091
103_1241_000056_000000,"""That's Barry's pond,"" said Matthew.",2.150041666666666,103,1241,000056_000000," That's Barry's Pond, tip Matthew.",0.14285714285714285
103_1241_000066_000004,So I shut my eyes.,1.0899583333333334,103,1241,000066_000004, So I shut my eyes.,0.0
103_1241_000004_000002,"In fact, he had looked at twenty very much as he looked at sixty, lacking a little of the grayness.",5.5,103,1241,000004_000002," In fact, he had looked at twenty, very much as he looked at sixty, lacking a little of the grainess.",0.05
